,Cluster,Companies Name,Companies,ATR,CHG
0,0,Walmart,WMT,0.3522160383677848,0.002465603822395544
1,0,Verizon,VZ,0.467063573296244,0.0023893702282260765
2,0,Apple,AAPL,0.6669231454061751,0.00588384567903963
3,0,Merck,MRK,0.725919119780887,0.002407911377786968
4,0,Coca-Cola,KO,0.43666713626428744,0.0019350922788447824
5,0,Cisco,CSCO,0.4773838848235339,0.00192694915407112
6,1,Amgen,AMGN,2.32365011660636,0.003557610202231879
7,2,American Express,AXP,1.3481868273383255,0.0025503984264425104
8,3,Johnson & Johnson,JNJ,1.1531326694891701,0.002289930763080212
9,3,Procter & Gamble,PG,0.9254692380166933,0.002301721061380802
10,3,Nike,NKE,0.9369224779279306,0.004471704439358658
11,3,JPMorgan Chase,JPM,1.1741012860949773,0.002520810477438145
12,4,Goldman Sachs,GS,3.2604703392790095,0.0012954945231708457
13,5,Boeing,BA,3.7935422657979,0.0037975903160002654
14,6,Salesforce,CRM,2.1971490387224,0.005697817849965468
15,7,Caterpillar,CAT,1.9147394311346626,0.0029329055617874386
16,8,UnitedHealth Group,UNH,2.5914639058298587,0.004903776822467757
17,9,Home Depot,HD,1.7959325264628292,0.005020279663824057
18,9,Sherwin-Williams,SHW,1.683710795786474,0.00513104466314408
19,10,Chevron,CVX,1.3470465120869393,0.001155944733993936
20,11,IBM,IBM,1.6497969769665468,0.0009111270607822777
21,12,Amazon,AMZN,0.9837120125526666,0.006505974921532802
22,12,Microsoft,MSFT,1.249741381958927,0.00434566319015239
23,13,Nvidia,NVDA,0.08080357746075874,0.007739668815844775
24,14,McDonald's,MCD,1.4942264748696286,0.003115117882620175
25,14,Honeywell,HON,1.4770210804264088,0.0034833013858314964
26,14,Disney,DIS,1.468921841689509,0.003209265018387649
27,14,Travelers,TRV,1.3033593982904261,0.002309168303843914
28,14,Visa,V,1.474573288401048,0.004591653910051154
