Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Date,,,,,
2024-03-08,378.6372375488281,387.0809732818429,378.36328223477517,380.3397018694121,1657200
2024-03-11,377.8251953125,378.06979935728026,373.1875121783111,377.3457809395761,1654200
2024-03-12,379.8016052246094,380.73111258722815,375.4965797817885,379.25369452419005,1703900
2024-03-13,383.8424377441406,386.71898361629763,379.8015742637824,380.5158288030905,2370600
2024-03-14,380.2223205566406,387.82463384838377,377.1305515151854,385.9167102375161,3029500
2024-03-15,378.8525390625,382.687943811937,378.06002430699357,380.47671358310026,3763500
2024-03-18,376.07379150390625,380.6332141120556,375.1345204085844,380.26141121670804,2069000
2024-03-19,380.2712707519531,382.34550846513366,375.4280982760893,375.7803436596097,1858200
2024-03-20,387.91265869140625,387.9420099820429,377.6686402347253,378.02085572236524,2157400
2024-03-21,404.7805480957031,405.083854721764,390.4761083699967,391.14142420400816,4613800
2024-03-22,398.0392761230469,407.764735306979,397.0217149389122,405.4556576036226,2189600
2024-03-25,396.1998596191406,401.6007063103303,395.14315339895364,398.08819572473726,1683900
2024-03-26,397.4130859375,400.4950910033807,395.7889114583965,397.32503206234827,1407000
2024-03-27,406.2873229980469,406.5221333288594,399.5558148317582,400.77883506956084,2353600
2024-03-28,408.6746520996094,410.15207006993865,406.0231526415817,407.2265854200003,2409700
2024-04-01,404.5848693847656,408.9290394541735,403.1074514520259,407.6864318412209,1863900
2024-04-02,401.2973937988281,404.25222979821143,398.82200203592515,401.8746557670585,1976000
2024-04-03,405.0643005371094,407.63753988074615,402.1290519824927,402.1290519824927,1549200
2024-04-04,397.4815673828125,409.95637349759613,396.94345043514323,408.97795733173075,1704700
2024-04-05,399.2622985839844,400.30921106493486,392.8047458105351,397.78488059421113,1694500
2024-04-08,401.6789855957031,403.62602423274654,398.75350092293894,400.2700639123586,1181900
2024-04-09,401.8453063964844,404.30114059655415,398.2642995458793,402.62805726647304,1247800
2024-04-10,392.110107421875,396.69888204084,388.71500182688396,395.2899602466775,1903300
2024-04-11,388.90087890625,392.8047499590994,386.31784582603296,391.83612748346434,2176200
2024-04-12,381.0832824707031,385.58400256432645,378.7644410592618,384.36098242252064,2814900
2024-04-15,392.2275085449219,403.95870975183067,390.0847745825454,398.21541117883663,6177000
2024-04-16,388.29425048828125,396.2292216357664,386.65051838893544,395.7204559456528,3459700
2024-04-17,395.19207763671875,398.3327851726223,392.5209907513327,393.7146596695513,4373800
2024-04-18,394.4093322753906,399.0568091337826,393.7244588642261,396.73796756291296,2776300
2024-04-19,395.2801513671875,399.1938162322092,394.3115288679405,395.33885395145137,2805100
2024-04-22,408.3420104980469,408.9584174866871,395.8378525505655,398.1566941867697,4165600
2024-04-23,414.84844970703125,416.16931748801824,407.21681564182643,408.69420373178406,2662300
2024-04-24,413.9092102050781,415.4159497005302,410.553219844186,412.40244085073226,1575900
2024-04-25,410.98370361328125,414.46686281814766,405.8959574031659,411.90341720928564,1970100
2024-04-26,418.3414001464844,419.28067128937704,410.5825672482214,411.15982919327473,2322700
