,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPXW250310P02400000,2025-03-07 14:30:06+00:00,2400.0,0.05,0.0,0.05,0.020000001,66.66667,3.0,61.0,3.2187519531249995,False,REGULAR,USD
1,SPXW250310P02600000,2025-03-04 15:14:44+00:00,2600.0,0.05,0.0,0.05,0.0,0.0,1.0,60.0,2.93750265625,False,REGULAR,USD
2,SPXW250310P02800000,2025-02-10 18:31:54+00:00,2800.0,0.21,0.0,0.05,0.0,0.0,1.0,21.0,2.6718783203125005,False,REGULAR,USD
3,SPXW250310P03000000,2025-02-26 15:08:22+00:00,3000.0,0.05,0.0,0.05,0.0,0.0,10.0,54.0,2.42969142578125,False,REGULAR,USD
4,SPXW250310P03200000,2025-03-03 20:39:43+00:00,3200.0,0.05,0.0,0.05,0.0,0.0,20.0,183.0,2.2031294921874993,False,REGULAR,USD
5,SPXW250310P03400000,2025-03-04 15:18:14+00:00,3400.0,0.05,0.0,0.05,0.0,0.0,40.0,43.0,1.984375078125,False,REGULAR,USD
6,SPXW250310P03600000,2025-03-04 19:32:54+00:00,3600.0,0.05,0.0,0.05,0.0,0.0,4.0,784.0,1.78125109375,False,REGULAR,USD
7,SPXW250310P03800000,2025-03-05 18:06:49+00:00,3800.0,0.05,0.0,0.05,0.0,0.0,200.0,2353.0,1.5859395703124997,False,REGULAR,USD
8,SPXW250310P04000000,2025-03-06 14:30:59+00:00,4000.0,0.05,0.0,0.05,0.0,0.0,20.0,3396.0,1.3984405078125,False,REGULAR,USD
9,SPXW250310P04200000,2025-03-07 11:45:07+00:00,4200.0,0.05,0.0,0.05,0.0,0.0,14.0,4429.0,1.22266013671875,False,REGULAR,USD
10,SPXW250310P04400000,2025-03-06 21:07:49+00:00,4400.0,0.04,0.0,0.05,0.0,0.0,336.0,3899.0,1.0546922265625,False,REGULAR,USD
11,SPXW250310P04500000,2025-03-07 20:33:33+00:00,4500.0,0.05,0.0,0.05,0.0,0.0,438.0,7296.0,0.9687503125,False,REGULAR,USD
12,SPXW250310P04600000,2025-03-07 20:45:59+00:00,4600.0,0.05,0.0,0.05,-0.05,-50.0,3149.0,6249.0,0.8906260937499999,False,REGULAR,USD
13,SPXW250310P04700000,2025-03-07 21:01:17+00:00,4700.0,0.05,0.0,0.05,-0.05,-50.0,7283.0,8824.0,0.8125018749999999,False,REGULAR,USD
14,SPXW250310P04750000,2025-03-07 21:12:00+00:00,4750.0,0.03,0.0,0.05,0.03,,7375.0,6496.0,0.7695335546875001,False,REGULAR,USD
15,SPXW250310P04800000,2025-03-07 21:11:59+00:00,4800.0,0.05,0.0,0.05,-0.10000001,-66.66667,4919.0,14188.0,0.7304714453125,False,REGULAR,USD
16,SPXW250310P04850000,2025-03-07 21:14:38+00:00,4850.0,0.05,0.0,0.1,0.05,,1666.0,2709.0,0.7304714453125,False,REGULAR,USD
17,SPXW250310P04900000,2025-03-07 21:12:27+00:00,4900.0,0.05,0.0,0.1,-0.15,-75.0,283.0,2244.0,0.6894562304687502,False,REGULAR,USD
